module style:300ZI; drdy:True;   burst read:True; single read:False 
time:  0.160467;  status:                   0 ; gyro:                     0.171875, -0.109375, 0.046875;  accel:                0.00125, 0.0295, 0.99525; temp:32.096667592741525; mag:          
time:  0.180961;  status:                   0 ; gyro:                      0.140625, -0.09375, 0.109375;  accel:               0.00075, 0.03075, 0.99775; temp:32.096667592741525; mag:          
time:  0.182478;  status:                   0 ; gyro:                      0.171875, -0.09375, 0.078125;  accel:                  0.001, 0.0305, 0.99775; temp:32.096667592741525; mag:          
time:  0.187336;  status:                   0 ; gyro:                      0.203125, -0.078125, 0.03125;  accel:                   0.001, 0.02975, 0.997; temp:32.096667592741525; mag:          
time:  0.192101;  status:                   0 ; gyro:                        0.171875, -0.0625, 0.03125;  accel:                      0.001, 0.03, 0.996; temp:32.096667592741525; mag:          
time:  0.196931;  status:                   0 ; gyro:                           0.125, -0.09375, 0.0625;  accel:                    0.001, 0.0305, 0.996; temp:32.096667592741525; mag:          
time:  0.201740;  status:                   0 ; gyro:                          0.078125, -0.125, 0.0625;  accel:               0.00125, 0.03025, 0.99725; temp:32.096667592741525; mag:          
time:  0.206584;  status:                   0 ; gyro:                       0.015625, -0.109375, 0.0625;  accel:                   0.0015, 0.03, 0.99725; temp:32.096667592741525; mag:          
time:  0.211363;  status:                   0 ; gyro:                    -0.015625, -0.078125, 0.046875;  accel:                     0.002, 0.03, 0.9955; temp:32.096667592741525; mag:          
time:  0.216233;  status:                   0 ; gyro:                        -0.03125, -0.0625, 0.03125;  accel:                0.00225, 0.0295, 0.99475; temp:32.096667592741525; mag:          
time:  0.221014;  status:                   0 ; gyro:                     -0.046875, -0.078125, 0.03125;  accel:                   0.002, 0.029, 0.99525; temp:32.096667592741525; mag:          
time:  0.225846;  status:                   0 ; gyro:                       -0.046875, -0.0625, 0.03125;  accel:                0.00125, 0.0295, 0.99625; temp:32.096667592741525; mag:          
time:  0.230640;  status:                   0 ; gyro:                    -0.046875, -0.046875, 0.015625;  accel:                  0.00075, 0.03, 0.99725; temp:32.096667592741525; mag:          
time:  0.235455;  status:                   0 ; gyro:                      -0.03125, -0.03125, 0.015625;  accel:                 0.00075, 0.02975, 0.998; temp:32.096667592741525; mag:          
time:  0.240251;  status:                   0 ; gyro:                        -0.0625, -0.03125, 0.03125;  accel:                    0.001, 0.03, 0.99725; temp:32.096667592741525; mag:          
time:  0.245082;  status:                   0 ; gyro:                       -0.0625, -0.03125, 0.046875;  accel:                 0.001, 0.03025, 0.99575; temp:32.096667592741525; mag:          
time:  0.249895;  status:                   0 ; gyro:                      -0.046875, -0.0625, 0.046875;  accel:               0.00075, 0.02975, 0.99525; temp:32.096667592741525; mag:          
time:  0.254723;  status:                   0 ; gyro:                     -0.046875, -0.09375, 0.046875;  accel:                0.00075, 0.02975, 0.9955; temp:32.096667592741525; mag:          
time:  0.259522;  status:                   0 ; gyro:                       -0.046875, -0.125, 0.046875;  accel:                 0.001, 0.03025, 0.99525; temp:32.096667592741525; mag:          
time:  0.264432;  status:                   0 ; gyro:                               0.0, -0.125, 0.0625;  accel:               0.00125, 0.03025, 0.99525; temp:32.096667592741525; mag:          
time:  0.269201;  status:                   0 ; gyro:                     0.015625, -0.109375, 0.046875;  accel:                0.0015, 0.02975, 0.99625; temp:32.096667592741525; mag:          
time:  0.273829;  status:                   0 ; gyro:                      0.015625, -0.09375, 0.046875;  accel:                  0.0015, 0.02925, 0.996; temp:32.096667592741525; mag:          
time:  0.278624;  status:                   0 ; gyro:                      0.015625, -0.09375, 0.046875;  accel:                 0.00125, 0.029, 0.99525; temp:32.096667592741525; mag:          
time:  0.283489;  status:                   0 ; gyro:                          0.015625, -0.125, 0.0625;  accel:                 0.001, 0.02875, 0.99575; temp:32.096667592741525; mag:          
time:  0.288230;  status:                   0 ; gyro:                        0.015625, -0.125, 0.046875;  accel:                   0.001, 0.02875, 0.997; temp:32.096667592741525; mag:          
time:  0.293039;  status:                   0 ; gyro:                      0.03125, -0.109375, 0.015625;  accel:                   0.00125, 0.029, 0.998; temp:32.096667592741525; mag:          
time:  0.297854;  status:                   0 ; gyro:                            0.0625, -0.078125, 0.0;  accel:                0.0015, 0.02925, 0.99825; temp:32.096667592741525; mag:          
time:  0.302686;  status:                   0 ; gyro:                               0.125, -0.0625, 0.0;  accel:                   0.0015, 0.029, 0.9975; temp:32.096667592741525; mag:          
time:  0.307461;  status:                   0 ; gyro:                       0.1875, -0.046875, 0.015625;  accel:                 0.00175, 0.02875, 0.997; temp:32.096667592741525; mag:          
time:  0.312297;  status:                   0 ; gyro:                         0.1875, -0.03125, 0.03125;  accel:               0.00175, 0.02825, 0.99675; temp:32.096667592741525; mag:          
time:  0.317123;  status:                   0 ; gyro:                             0.15625, 0.0, 0.03125;  accel:                 0.0015, 0.02775, 0.9965; temp:32.096667592741525; mag:          
time:  0.322082;  status:                   0 ; gyro:                      0.140625, -0.015625, 0.03125;  accel:                0.00125, 0.02775, 0.9965; temp:32.096667592741525; mag:          
time:  0.326774;  status:                   0 ; gyro:                        0.125, -0.046875, 0.015625;  accel:                0.00075, 0.02825, 0.9965; temp:32.096667592741525; mag:          
time:  0.331579;  status:                   0 ; gyro:                               0.125, -0.0625, 0.0;  accel:                0.00025, 0.02875, 0.9965; temp:32.096667592741525; mag:          
time:  0.336340;  status:                   0 ; gyro:                        0.125, -0.078125, 0.015625;  accel:                  0.00025, 0.029, 0.9965; temp:32.096667592741525; mag:          
